 Overall First Home Owner Grant Statistics,,,
Number,Postcode,Suburbs,Number of Applications
1,3029,"Hoppers Crossing, Tarneit",1069
2,3977,"Cranbourne, Devon Meadows, Skye",1037
3,3064,"Craigieburn, Donnybrook, Roxburgh Park, Mickleham",821
4,3030,"Point Cook, Werribee, Derrimut",816
5,3754,"Doreen, Mernda",530
6,3810,"Pakenham, Rythdale",479
7,3350,"Alfredton, Ballarat, Canadian, Invermay Park, Mt Clear, Mt Helen",383
8,3216,"Belmont, Grovedale, Highton, Marshall, Waurn Ponds",351
9,3136,"Croydon, Croydon Hills, Croydon North, Croydon South",344
10,3805,"Fountain Gate, Narre Warren, Narre Warren South",335
